Restaurant ID,Restaurant Name,Country Code,City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Aggregate rating,Votes
7300868,Talho Capixaba,30,Rio de Janeiro,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),No,No,4.4,13
7302637,Leme Light,30,Rio de Janeiro,Brazilian,40,Brazilian Real(R$),No,No,4.2,7
7302140,Shirley,30,Rio de Janeiro,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,4.2,8
7305048,Quiosque Chopp Brahma,30,Rio de Janeiro,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,0.0,1
7302898,Apraz?vel,30,Rio de Janeiro,Brazilian,300,Brazilian Real(R$),No,No,4.7,44
7302859,Aconchego Carioca,30,Rio de Janeiro,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,4.6,24
7301700,Garota de Ipanema,30,Rio de Janeiro,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,4.3,10
6706313,Cantina Famiglia Mancini,30,S?o Paulo,"Italian, Pizza",250,Brazilian Real(R$),No,No,4.5,49
6704326,Templo da Carne - Marcos Bassi,30,S?o Paulo,"Steak, BBQ",250,Brazilian Real(R$),No,No,4.4,17
6711179,Gopala Hari,30,S?o Paulo,Indian,70,Brazilian Real(R$),No,No,3.1,5
6702797,Jiquitaia,30,S?o Paulo,Brazilian,100,Brazilian Real(R$),No,No,4.1,15
6700475,Skye - Hotel Unique,30,S?o Paulo,"Beverages, International",300,Brazilian Real(R$),No,No,4.8,59
6713413,Les 3 Brasseurs,30,S?o Paulo,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,4.6,30
6714340,Red Steak & Burger,30,S?o Paulo,"Brazilian, Grill",75,Brazilian Real(R$),No,No,3.9,5
6710645,Cantinho da Gula,30,S?o Paulo,Brazilian,55,Brazilian Real(R$),No,No,0.0,0
6700402,Paris 6 Classique,30,S?o Paulo,French,200,Brazilian Real(R$),No,No,3.4,73
6700846,Kawa Sushi,30,S?o Paulo,"Sushi, Japanese",120,Brazilian Real(R$),No,No,3.5,9
6702159,A Figueira Rubaiyat,30,S?o Paulo,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,4.3,39
6711666,Kinoshita,30,S?o Paulo,Sushi,230,Brazilian Real(R$),No,No,3.9,12
6701257,Meats,30,S?o Paulo,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,4.3,68
6706211,Paribar,30,S?o Paulo,"Brazilian, Italian",150,Brazilian Real(R$),No,No,4.3,46
6705858,Terra?o It?lia,30,S?o Paulo,Italian,400,Brazilian Real(R$),No,No,4.4,37
6701419,Divino Fog?o,30,S?o Paulo,"Brazilian, Mineira",65,Brazilian Real(R$),No,No,0.0,2
6703956,Super Grill,30,S?o Paulo,Brazilian,50,Brazilian Real(R$),No,No,0.0,2
6709580,Esquina Mocot?,30,S?o Paulo,"Brazilian, North Eastern",100,Brazilian Real(R$),No,No,4.4,22
6703176,Veloso,30,S?o Paulo,"Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),No,No,4.6,58
6713772,Sainte Marie Gastronomia,30,S?o Paulo,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,4.1,11
17284404,Austin's BBQ and Oyster Bar,216,Albany,"BBQ, Burger, Seafood",25,Dollar($),No,No,3.3,35
17284203,BJ's Country Buffet,216,Albany,"American, BBQ",10,Dollar($),No,No,3.3,25
17284105,Cookie Shoppe,216,Albany,,0,Dollar($),No,No,3.4,34
17284302,El Vaquero Mexican Restaurant,216,Albany,Mexican,0,Dollar($),No,No,3.4,45
17284397,Elements Coffee Co - Northwest,216,Albany,"Coffee and Tea, Sandwich",10,Dollar($),No,No,3.4,26
17284211,Pearly's Famous Country Cookng,216,Albany,,0,Dollar($),No,No,3.4,36
17284094,Chick-fil-A,216,Albany,Fast Food,10,Dollar($),No,No,3.5,67
17284409,Guang Zhou Chinese Restaurant,216,Albany,"Asian, Chinese, Vegetarian",10,Dollar($),No,No,3.9,141
17284139,Harvest Moon,216,Albany,"Pizza, Bar Food, Sandwich",25,Dollar($),No,No,3.7,147
17284403,Henry Campbell's Steakhouse,216,Albany,"Steak, Tapas, Bar Food",70,Dollar($),No,No,3.5,51
17284145,Hong Kong Cafe,216,Albany,"Chinese, Seafood, Vegetarian",25,Dollar($),No,No,3.6,88
17284150,House of China Restaurant II,216,Albany,Chinese,10,Dollar($),No,No,3.8,153
17284158,Jimmie's Hot Dogs,216,Albany,,10,Dollar($),No,No,3.9,160
17284175,Locos Grill & Pub,216,Albany,"American, Burger, Sandwich",25,Dollar($),No,No,3.5,57
17284179,Longhorn Steakhouse,216,Albany,"American, Steak",25,Dollar($),No,No,3.5,58
17284197,Mikata Japanese Steakhouse,216,Albany,"Japanese, Steak, Sushi",40,Dollar($),No,No,3.6,115
17284241,Shogun Japanese Steak House,216,Albany,"Japanese, Steak, Sushi",40,Dollar($),No,No,3.5,51
17284390,The Catch Seafood Room & Oyster Bar,216,Albany,"Seafood, Tapas, Bar Food",40,Dollar($),No,No,3.8,250
17284279,Villa Gargano,216,Albany,"Italian, Pizza",10,Dollar($),No,No,3.7,117
17284364,3 Squares Diner,216,Albany,"American, Breakfast, Diner",10,Dollar($),No,No,3.4,20
16611114,Whitebull Hotel,14,Armidale,"Bar Food, Steak",20,Dollar($),No,No,3.5,25
17293281,Last Resort Grill,216,Athens,"American, Southern, Southwestern",40,Dollar($),No,No,4.5,1821
17293301,Mama's Boy Restaurant,216,Athens,Southern,10,Dollar($),No,No,4.5,849
17293409,Sr. Sol 1,216,Athens,Mexican,10,Dollar($),No,No,4.6,917
17293163,Choo Choo Eastside,216,Athens,"Japanese, Korean",10,Dollar($),No,No,3.9,439
17293228,The Grill,216,Athens,"Breakfast, Burger, Sandwich",10,Dollar($),No,No,3.7,289
17293880,Big City Bread Cafe,216,Athens,"Breakfast, Sandwich",10,Dollar($),No,No,4.3,558
17293169,Clocked,216,Athens,"American, Burger, Sandwich",10,Dollar($),No,No,4.2,613
17293186,DePalma's Italian Cafe - Downtown,216,Athens,"American, Italian, Pizza",25,Dollar($),No,No,4.0,353
17293180,DePalma's Italian Cafe - East Side,216,Athens,"American, Italian, Pizza",25,Dollar($),No,No,4.1,387
17293205,Five & Ten,216,Athens,American,40,Dollar($),No,No,4.3,755
17293229,Grit,216,Athens,"International, Southern, Vegetarian",10,Dollar($),No,No,4.2,800
17293897,Ike & Jane,216,Athens,Sandwich,10,Dollar($),No,No,4.1,350
17293273,La Dolce Vita Ristorante,216,Athens,Italian,40,Dollar($),No,No,4.1,464
17293870,Shokitini,216,Athens,"Asian, Japanese, Sushi",25,Dollar($),No,No,4.2,550
17293877,Taqueria Del Sol,216,Athens,"Mexican, Spanish",10,Dollar($),No,No,4.1,543
17293890,The National,216,Athens,"International, Southern",40,Dollar($),No,No,4.1,465
17293915,The Royal Peasant,216,Athens,Bar Food,10,Dollar($),No,No,4.4,546
17293422,Transmetropolitan,216,Athens,"Italian, Pizza, Sandwich",10,Dollar($),No,No,4.4,1098
17293873,Trappeze Pub,216,Athens,"Burger, Bar Food",25,Dollar($),No,No,4.2,579
17294014,Viva! Argentine Cuisine,216,Athens,"Desserts, Latin American, Argentine",10,Dollar($),No,No,4.1,374
17294556,Miyabi Kyoto Japanese Steak House,216,Augusta,"Chinese, Steak",40,Dollar($),No,No,4.6,717
17294607,Rae's Coastal Cafe,216,Augusta,"American, Caribbean, Seafood",40,Dollar($),No,No,4.9,548
17294279,The Bee's Knees,216,Augusta,"International, Tapas, Vegetarian",25,Dollar($),No,No,4.5,631
17294300,Boll Weevil Cafe,216,Augusta,"Desserts, Sandwich, Southern",10,Dollar($),No,No,3.9,372
17295215,Farmhaus Burger,216,Augusta,"American, Burger",25,Dollar($),No,No,3.9,201
17295028,Manuel's Bread Cafe,216,Augusta,"Breakfast, French",40,Dollar($),No,No,3.8,332
17294642,Sconyers Bar B Que,216,Augusta,BBQ,25,Dollar($),No,No,3.5,304
17295109,Frog Hollow Tavern,216,Augusta,American,40,Dollar($),No,No,4.3,368
17294441,Giuseppe's Pizza & Italian Specialities,216,Augusta,"Desserts, Italian, Pizza",25,Dollar($),No,No,4.1,430
17294552,Mellow Mushroom,216,Augusta,"Italian, Pizza, Sandwich",25,Dollar($),No,No,4.4,433
17294565,Nacho Mamas Burritos,216,Augusta,Mexican,10,Dollar($),No,No,4.0,380
17294623,Rhinehart's Oyster Bar,216,Augusta,"Bar Food, Sandwich, Seafood",25,Dollar($),No,No,4.0,456
17294712,Takosushi,216,Augusta,"Mexican, Southwestern, Sushi",40,Dollar($),No,No,4.2,647
17295033,The Chop House,216,Augusta,Steak,40,Dollar($),No,No,4.0,360
17295069,The Taj of India,216,Augusta,Indian,25,Dollar($),No,No,4.0,227
17294261,Augsburg Haus,216,Augusta,German,25,Dollar($),No,No,3.9,290
17295115,Pho Bac,216,Augusta,Vietnamese,10,Dollar($),No,No,4.1,270
17294836,Rhinehart's Oyster Bar,216,Augusta,"Burger, Seafood",25,Dollar($),No,No,4.0,326
17294850,Thai Kitchen,216,Augusta,Thai,35,Dollar($),No,No,4.3,317
17294883,El Kiosco Mexican Restaurant,216,Augusta,Mexican,10,Dollar($),No,No,4.2,300
16608864,Taste of Balingup,14,Balingup,Modern Australian,20,Dollar($),No,No,3.2,21
16604911,Bridge Road Brewers,14,Beechworth,"Pizza, Bar Food",20,Dollar($),No,No,4.6,237
17303465,Bardenay,216,Boise,"American, Bar Food",25,Dollar($),No,No,4.5,879
17303642,Flatbread Neapolitan Pizzeria,216,Boise,"Italian, Pizza",25,Dollar($),No,No,4.6,615
17303670,Goldy's Breakfast Bistro,216,Boise,"Breakfast, Sandwich",25,Dollar($),No,No,4.5,879
17303545,Chandlers Steakhouse,216,Boise,"American, Seafood, Steak",70,Dollar($),No,No,3.9,379
17303655,Bar Gernika Basque Pub & Eatery,216,Boise,"European, Spanish",10,Dollar($),No,No,4.3,303
17304691,Barbacoa Restaurant,216,Boise,"Latin American, Steak",70,Dollar($),No,No,4.1,538
17303478,Big Jud's,216,Boise,"American, Burger, Sandwich",10,Dollar($),No,No,4.2,334
17303480,Bittercreek Ale House,216,Boise,"American, Bar Food",25,Dollar($),No,No,4.3,555
17304733,Boise Fry Company,216,Boise,"American, Burger",10,Dollar($),No,No,4.4,823
17303646,Flying Pie Pizzaria,216,Boise,Pizza,25,Dollar($),No,No,4.1,550
17304929,Fork,216,Boise,"American, Burger",25,Dollar($),No,No,4.4,650
17303684,Guido's Original New York Style Pizza,216,Boise,Pizza,10,Dollar($),No,No,4.3,410
17303772,Los Beto's,216,Boise,Mexican,10,Dollar($),No,No,4.4,660
17305123,Lucianos Italian Restaurant,216,Boise,"Italian, Seafood, Vegetarian",25,Dollar($),No,No,4.4,360
17303787,Mai Thai Restaurant,216,Boise,"Sushi, Thai",40,Dollar($),No,No,4.0,340
17303990,Shige Japanese Cuisine,216,Boise,"Japanese, Sushi, Teriyaki",25,Dollar($),No,No,4.1,393
17304741,The Egg Factory,216,Boise,Breakfast,10,Dollar($),No,No,4.3,422
17304726,Tucanos,216,Boise,Brazilian,40,Dollar($),No,No,4.0,435
17304486,Texas Roadhouse,216,Boise,"American, BBQ, Steak",25,Dollar($),No,No,4.0,369
17304533,Brick 29,216,Boise,American,40,Dollar($),No,No,4.4,487
17316233,Winifreds,216,Cedar Rapids/Iowa City,"American, Mediterranean, Seafood",40,Dollar($),No,No,3.7,98
17315883,Biaggi's Ristorante Italiano,216,Cedar Rapids/Iowa City,"Italian, Pizza",40,Dollar($),No,No,4.1,365
17315995,El Super Burrito,216,Cedar Rapids/Iowa City,Mexican,10,Dollar($),No,No,4.1,190
17316018,Granite City Food & Brewery,216,Cedar Rapids/Iowa City,"American, Breakfast, Burger",40,Dollar($),No,No,4.1,429
17316038,Irish Democrat,216,Cedar Rapids/Iowa City,"American, BBQ, Burger",25,Dollar($),No,No,4.4,430
17316771,Taste of India,216,Cedar Rapids/Iowa City,Indian,25,Dollar($),No,No,4.2,186
17316201,Thai Moon Restaurant,216,Cedar Rapids/Iowa City,"Chinese, Sushi, Thai",10,Dollar($),No,No,4.2,220
17316208,Ting's Red Lantern,216,Cedar Rapids/Iowa City,Chinese,10,Dollar($),No,No,4.2,347
17316389,Monica's,216,Cedar Rapids/Iowa City,"American, Italian, Pizza",25,Dollar($),No,No,3.8,161
17316278,Exotic India,216,Cedar Rapids/Iowa City,Indian,25,Dollar($),No,No,4.1,160
17316744,Shorts Burger and Shine,216,Cedar Rapids/Iowa City,Burger,10,Dollar($),No,No,4.9,820
17316751,The Hamburg Inn No. 2 Inc.,216,Cedar Rapids/Iowa City,"American, Breakfast, Burger",10,Dollar($),No,No,4.5,488
17316766,Bluebird Diner,216,Cedar Rapids/Iowa City,"Breakfast, Diner",25,Dollar($),No,No,3.6,253
17316743,Graze,216,Cedar Rapids/Iowa City,"American, International, Sushi",40,Dollar($),No,No,3.8,220
17316374,A & A Pagliai's Pizza,216,Cedar Rapids/Iowa City,Pizza,25,Dollar($),No,No,4.3,485
17316381,Atlas World Grill,216,Cedar Rapids/Iowa City,International,40,Dollar($),No,No,4.3,428
17316802,BlackStone,216,Cedar Rapids/Iowa City,"American, Breakfast",25,Dollar($),No,No,4.1,294
17316416,Devotay,216,Cedar Rapids/Iowa City,"Mediterranean, Tapas, Vegetarian",40,Dollar($),No,No,4.0,380
17316449,Jimmy Jack's Rib Shack,216,Cedar Rapids/Iowa City,BBQ,25,Dollar($),No,No,4.2,259
17316603,Zoeys Pizzeria,216,Cedar Rapids/Iowa City,"Pizza, Sandwich",25,Dollar($),No,No,4.7,433
16659169,Tokyo Sushi,37,Chatham-Kent,"Japanese, Sushi",25,Dollar($),No,No,3.7,176
17558684,Berry Patch Restaurant,216,Clatskanie,"American, Breakfast, Desserts",10,Dollar($),No,No,4.3,96
18366580,Sakura Sushi & Grill,216,Cochrane,"Asian, Japanese",25,Dollar($),No,No,3.1,6
17330755,Uptown Vietnam cuisine,216,Columbus,"Asian, Vietnamese",10,Dollar($),No,No,3.3,33
17330611,Cafe Le Rue @ The Landings,216,Columbus,"American, Seafood, Cajun",25,Dollar($),No,No,4.6,489
17330609,Mark's City Grille,216,Columbus,American,25,Dollar($),No,No,4.5,345
17330024,B Merrell's,216,Columbus,"Burger, Bar Food, Southern",25,Dollar($),No,No,3.8,149
17330074,Cannon Brewpub,216,Columbus,"Pizza, Bar Food",25,Dollar($),No,No,3.9,330
17330185,Fuji Japanese Steak House,216,Columbus,"Japanese, Steak",40,Dollar($),No,No,3.9,247
17330397,Ruth Ann's Family Restaurant,216,Columbus,"Breakfast, Diner, Southern",10,Dollar($),No,No,3.7,123
17330735,Samurai Japanese Cuisine & Sushi Bar,216,Columbus,"Japanese, Steak, Sushi",40,Dollar($),No,No,3.6,109
17330676,Wasabi Sushi and Thai,216,Columbus,"Japanese, Sushi, Thai",40,Dollar($),No,No,3.7,134
17330048,Buckhead Bar and Grill,216,Columbus,"Seafood, Steak, Vegetarian",40,Dollar($),No,No,4.2,722
17330604,Burt's Butcher Shoppe and Eatery,216,Columbus,Steak,25,Dollar($),No,No,4.3,213
17330087,Chef Lee's Peking Restaurant,216,Columbus,Chinese,25,Dollar($),No,No,4.0,335
17330137,Country's Barbecue,216,Columbus,"BBQ, Southern",25,Dollar($),No,No,4.0,353
17330155,Deorio's,216,Columbus,"Italian, Pizza",0,Dollar($),No,No,4.0,170
17330309,Mellow Mushroom,216,Columbus,Pizza,25,Dollar($),No,No,4.1,192
17330311,Meritage,216,Columbus,"American, Tapas",40,Dollar($),No,No,4.1,302
17330615,Mongo The Mongolian Fire Pit,216,Columbus,"Asian, Chinese",10,Dollar($),No,No,4.2,355
17330638,The Black Cow,216,Columbus,American,25,Dollar($),No,No,4.3,287
17330628,Wood Stone,216,Columbus,"Italian, Mediterranean, Pizza",40,Dollar($),No,No,4.0,264
17330546,Hunter's Pub,216,Columbus,"American, Seafood, Steak",40,Dollar($),No,No,4.4,235
